# civil-holidays v1
# jurisdiction: UY
# source: https://www.impo.com.uy/bases/leyes/16805-1996
#   (Ley 16.805 de feriados, as amended by Ley 17.414; local copy
#   papers/holidays/uy_ley16805_impo.html). Cross-checked against
#   vacanza/holidays 0.101 (MIT). Names are the official Spanish.
#
#   Uruguay's law distinguishes "feriados laborables" (paid non-working days:
#   the five the reference lists) from "feriados no laborables" (observed but
#   not paid, notably Carnaval and Semana de Turismo — Uruguay's secular names
#   for Holy Week). The reference carries only the five laborables, so Carnaval
#   (the Monday and Tuesday before Ash Wednesday) and Semana de Turismo
#   (Thursday/Friday of Holy Week) are our-only additions here, grounded in
#   Ley 16.805 art. 18 and exercising the Easter offsets. They keep the
#   secular civil names the law uses, not "Carnaval"/"Jueves Santo" religious
#   glosses.
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed | valid | span
#
# --- feriados laborables (the reference's five) ---
fixed  | Año Nuevo                       | 1 1   | public          |  |
fixed  | Día de los Trabajadores         | 5 1   | public          |  |
fixed  | Jura de la Constitución         | 7 18  | public          |  |
fixed  | Declaratoria de la Independencia| 8 25  | public          |  |
fixed  | Día de la Familia               | 12 25 | public religious |  |
#
# --- feriados no laborables (Ley 16.805 art. 18; Easter-linked) ---
easter | Lunes de Carnaval               | -48   | public          |  |
easter | Martes de Carnaval              | -47   | public          |  |
easter | Jueves de Turismo               | -3    | public          |  |
easter | Viernes de Turismo              | -2    | public          |  |

# --- vacanza/holidays 0.101 category parity (retrieved 2026-07-22) ---
# Extra non-default-category rows cross-checked against vacanza/holidays
# 0.101 (MIT) `country_holidays(cc, categories=(...))` output for 2024 and
# 2025. Stable Gregorian dates across both years land as `fixed`; rows that
# move year to year are gazetted `decree` tables of vacanza's own 2024/2025
# dates. "(estimated)"/"(procijenjeno)"-style annotation suffixes were
# stripped. Names are vacanza's own (already-localized) labels.
fixed  | Día de los Niños | 1 6 | bank |  |  |  | 
decree | Carnaval | 2024-2-12 2024-2-13 2025-3-3 2025-3-4 | bank |  |  |  | 
decree | Semana de Turismo | 2024-3-25 2024-3-26 2024-3-27 2024-3-28 2024-3-29 2025-4-14 2025-4-15 2025-4-16 2025-4-17 2025-4-18 | bank |  |  |  | 
decree | Desembarco de los 33 Orientales | 2024-4-22 2025-4-19 | bank |  |  |  | 
fixed  | Batalla de Las Piedras | 5 18 | bank |  |  |  | 
fixed  | Natalicio de Artigas | 6 19 | bank |  |  |  | 
fixed  | Día de la Diversidad Cultural | 10 12 | bank |  |  |  | 
fixed  | Día de los Difuntos | 11 2 | bank |  |  |  | 
